"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet gymnázií","Počet lůžek v ubytovacích zařízeních","Počet mateřských škol","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet pokojů v ubytovacích zařízeních","Počet SOŠ a praktických škol","Počet SOU","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Počet základních škol s 1. st.","Počet základních škol s 2. st.","Počet základních škol úplných","Počet žáků v gymnáziích","Počet žáků v mateřských školách","Počet žáků v SOŠ a praktických školách","Počet žáků v SOU","Počet žáků v základních školách s 1. st.","Počet žáků v základních školách s 2. st.","Počet žáků v základních školách úplných","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Ordinace gynekologa","Ordinace praktického lékaře","Ordinace praktického lékaře pro děti a dorost","Ordinace specialisty","Ordinace stomatologa","Počet lékáren","Domovy pro seniory","Domovy pro seniory - počet míst","Domovy pro osoby se zdravotním postižením","Domovy pro osoby se zdravotním postižením - počet míst","Počet nemocnic","Počet lůžek v nemocnicích"
"Horní Libochová","1 163,46","459,68","2 519,81","120,00","0,00","217,82","69,83","170,48","1,00","0,00",NA,"0,00","202,00","36,00","26,00","69,00","63,00","4,00","4,00",NA,"0,00","0,00",NA,"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","290,48","2 880,12","6,00","1 498,84","2 589,64","1 381,28","0,00","46,61","291,65","21,93","0,63","57,46","0,00","28,61","7,12","5,67","356,87","0,00","3,00","2,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Lideč","21 803,55","721,88","19 535,32","2 941,74","1 263,71","2 648,84","2 183,25","5 893,12","1,00","0,00",NA,"1,00","1 357,00","223,00","219,00","448,00","396,00","33,00","38,00",NA,"0,00","0,00","1,00","34,00","0,00","0,00","2,00","0,00","54,00","0,00","0,00","0,00","0,00","362,00","8 834,86","31 817,14","14,00","7 364,75","22 982,27","24 452,38","0,00","174,97","268,27","85,06","0,00","156,95","0,00","9,36","12,27","15,00","437,49","25,00","15,00","17,00","Zlínský kraj","VSETÍN","Vsetín",NA,"1,00","1,00",NA,"4,00","1,00",NA,NA,NA,NA,NA,NA
"Horní Loděnice","6 046,72","1 819,46","5 267,30","400,00","17,90","1 414,63","1 519,52","365,48","1,00","0,00",NA,"0,00","326,00","44,00","55,00","118,00","93,00","8,00","8,00",NA,"0,00","0,00",NA,"12,00","0,00","0,00","0,00","0,00","25,00","0,00","0,00","0,00","0,00","0,00","765,48","7 570,20","11,00","108,85","6 804,72","7 461,36","0,00","360,07","660,32","141,27","0,00","627,51","0,00","17,47","2,86","9,96","1 290,69","16,00","3,00","1,00","Olomoucký kraj","ŠTERNBERK","Olomouc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Lomná","4 315,57","2 470,45","6 762,73","1 162,50","0,00","3 109,63","1 778,70","116,08","2,00","0,00","410,00","0,00","378,00","73,00","47,00","143,00","91,00","11,00","13,00","163,00","0,00","0,00","12,00","15,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 278,58","9 820,01","14,00","2 394,81","8 541,42","7 425,20","0,00","2 130,92","6,76","63,90","0,00","244,09","0,00","13,59","3,89","7,30","254,74","16,00","5,00","4,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Loučky","2 379,31","417,98","3 541,19","200,00","0,00","1 141,14","509,33","81,89","0,00","0,00",NA,"0,00","303,00","54,00","46,00","91,00","85,00","11,00","16,00",NA,"0,00","0,00",NA,"12,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","281,89","4 332,41","4,00","811,96","4 050,52","3 520,44","0,00","149,50","140,29","32,73","40,17","32,94","0,00","7,39","9,00","5,96","222,41","4,00","0,00","2,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Lukavice","4 029,89","730,67","6 495,47","0,00","135,07","384,56","306,22","136,65","1,00","0,00",NA,"0,00","421,00","87,00","61,00","129,00","111,00","15,00","18,00",NA,"0,00","0,00",NA,"7,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","136,65","7 073,40","8,00","2 658,95","6 936,75","4 414,45","0,00","137,98","475,03","46,07","3,50","37,06","0,00","2,69","14,41","13,93","530,00","6,00","4,00","4,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Maršov","21 639,62","2 846,98","16 395,36","2 557,71","451,69","5 210,03","5 919,88","3 042,60","1,00","0,00","711,00","1,00","980,00","180,00","133,00","299,00","290,00","37,00","41,00","211,00","0,00","0,00","24,00","26,00","0,00","0,00","2,00","0,00","41,00","0,00","0,00","0,00","0,00","108,00","5 600,31","28 367,24","46,00","1 517,60","22 766,93","26 849,65","0,00","2 036,82","0,20","131,04","1,10","626,93","0,00","22,99","8,04","19,86","636,27","49,00","13,00","6,00","Královéhradecký kraj","TRUTNOV","Trutnov",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Město","15 574,32","3 163,40","13 708,50","2 228,28","608,20","6 321,22","2 217,43","3 310,60","3,00","0,00","79,00","1,00","850,00","157,00","124,00","259,00","236,00","33,00","41,00","23,00","0,00","0,00","3,00","55,00","1,00","0,00","0,00","0,00","36,00","0,00","0,00","47,00","0,00","0,00","5 538,88","22 073,01","17,00","177,47","16 534,13","21 895,54","0,00","838,51","399,93","231,76","0,00","1 637,52","0,00","9,33","24,86","21,50","2 062,31","25,00","15,00","6,00","Moravskoslezský kraj","RÝMAŘOV","Bruntál",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Meziříčko","1 730,11","439,63","1 940,07","0,00","0,00","526,82","322,42","186,80","0,00","0,00",NA,"0,00","115,00","19,00","24,00","32,00","30,00","7,00","3,00",NA,"0,00","0,00",NA,"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","186,80","2 449,28","7,00","192,36","2 262,48","2 256,93","0,00","98,22","205,93","23,65","0,00","62,91","0,00","43,02","2,97","2,92","271,82","2,00","3,00","0,00","Jihočeský kraj","DAČICE","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Moštěnice","19 692,64","981,85","23 439,04","109,25","221,10","4 560,06","1 904,44","1 790,68","1,00","0,00",NA,"1,00","1 668,00","296,00","268,00","520,00","485,00","49,00","50,00",NA,"1,00","1,00",NA,"53,00","0,00","0,00","1,00","0,00","67,00","57,00","63,00","0,00","0,00","219,00","1 899,93","27 464,50","44,00","3 211,80","25 564,57","24 252,70","0,00","3,96","771,58","105,18","0,79","17,51","0,00","10,51","45,74","26,58","835,62","37,00","21,00","14,00","Olomoucký kraj","PŘEROV","Přerov",NA,"1,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Horní Myslová","1 434,15","364,17","1 311,59","293,84","0,00","431,75","66,73","361,70","0,00","0,00",NA,"0,00","91,00","10,00","21,00","26,00","29,00","3,00","2,00",NA,"0,00","0,00",NA,"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","655,54","2 033,85","0,00","167,96","1 378,31","1 865,90","0,00","41,65","219,89","24,14","0,00","65,90","0,00","4,99","4,09","3,52","289,88","0,00","1,00","0,00","Vysočina","TELČ","Jihlava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Němčí","12 445,59","1 793,44","11 746,56","0,00","111,53","6 604,68","4 067,23","872,62","1,00","0,00",NA,"1,00","824,00","178,00","112,00","243,00","230,00","31,00","30,00",NA,"0,00","0,00",NA,"22,00","1,00","0,00","0,00","0,00","16,00","0,00","0,00","57,00","0,00","0,00","872,62","16 797,94","9,00","-2 252,33","15 925,32","19 050,27","0,00","684,07","456,78","124,34","20,09","448,88","0,00","20,68","21,50","17,10","947,25","23,00","9,00","9,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště",NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Němčice","2 086,47","416,88","1 555,44","0,00","0,00","61,31","184,97","294,80","0,00","0,00",NA,"0,00","81,00","20,00","11,00","23,00","19,00","4,00","4,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","294,80","2 035,21","1,00","-112,57","1 740,41","2 147,78","0,00","91,07","161,86","38,56","0,00","105,46","0,00","11,92","5,16","2,85","272,48","4,00","1,00","0,00","Jihočeský kraj","DAČICE","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Nětčice","1 747,39","453,81","2 966,26","0,00","0,00","641,14","136,30","84,22","0,00","0,00",NA,"0,00","209,00","43,00","26,00","65,00","54,00","13,00","8,00",NA,"0,00","0,00",NA,"10,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","84,22","3 186,78","1,00","798,26","3 102,56","2 388,53","0,00","6,14","355,65","40,72","3,39","18,45","0,00","3,63","19,77","6,06","397,27","6,00","2,00","2,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Olešnice","3 568,50","1 272,85","4 562,17","0,00","73,79","4 858,88","640,91","418,72","0,00","0,00",NA,"0,00","314,00","63,00","37,00","112,00","83,00","12,00","7,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","418,72","5 695,60","18,00","-2 731,78","5 276,87","8 427,38","0,00","452,71","384,75","66,47","0,00","333,89","0,00","5,51","18,57","10,94","737,21","5,00","4,00","1,00","Královéhradecký kraj","TRUTNOV","Trutnov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Paseka","3 378,28","932,39","1 761,71","0,00","0,00","84,70","1 749,14","457,18","0,00","0,00",NA,"0,00","74,00","22,00","7,00","25,00","13,00","3,00","4,00",NA,"0,00","0,00",NA,"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","457,18","3 968,02","2,00","505,04","3 510,84","3 462,98","0,00","413,67","284,70","46,14","2,33","101,17","0,00","68,07","11,71","4,60","399,91","2,00","4,00","1,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Pěna","8 640,94","1 484,51","8 728,35","0,00","85,06","3 040,11","2 712,72","666,90","1,00","0,00",NA,"1,00","602,00","107,00","95,00","182,00","175,00","22,00","21,00",NA,"0,00","0,00","2,00","11,00","0,00","0,00","0,00","0,00","48,00","0,00","0,00","0,00","0,00","0,00","666,90","12 193,02","11,00","511,98","11 526,13","11 681,05","0,00","404,33","495,30","105,33","2,86","335,42","0,00","116,47","11,68","13,12","845,26","12,00","4,00","3,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Planá","62 634,65","12 716,62","47 388,45","11 680,13","12 654,21","31 400,82","22 259,44","4 590,15","9,00","0,00","1 691,00","1,00","2 098,00","474,00","260,00","637,00","544,00","90,00","93,00","580,00","0,00","0,00","43,00","87,00","0,00","0,00","2,00","0,00","55,00","0,00","0,00","0,00","0,00","202,00","16 270,28","98 572,37","70,00","4 536,90","82 302,09","94 035,48","0,00","5 663,40","52,93","1 295,36","2,06","3 649,08","0,00","1 983,76","27,08","42,95","3 731,15","38,00","34,00","22,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov","1,00","1,00","1,00",NA,NA,NA,"1,00","105,00",NA,NA,NA,NA
"Horní Počaply","24 459,55","1 239,02","20 879,50","0,00","0,00","774,65","4 354,90","294,92","3,00","0,00",NA,"1,00","1 281,00","256,00","204,00","403,00","336,00","47,00","35,00",NA,"0,00","0,00",NA,"37,00","1,00","0,00","0,00","0,00","43,00","0,00","0,00","43,00","0,00","0,00","294,92","25 529,31","38,00","295,11","25 234,39","25 234,20","49,79","227,19","461,65","314,48","4,31","2,12","0,00","69,77","22,62","87,09","540,49","38,00","13,00","7,00","Středočeský kraj","MĚLNÍK","Mělník",NA,"1,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Horní Podluží","11 195,28","740,50","10 034,23","1 946,99","963,31","2 578,14","4 963,29","1 304,98","1,00","0,00",NA,"1,00","785,00","142,00","122,00","245,00","225,00","25,00","26,00",NA,"0,00","0,00","1,00","13,00","0,00","0,00","0,00","0,00","25,00","0,00","0,00","0,00","0,00","0,00","3 251,97","19 212,79","16,00","5 439,37","15 960,82","13 773,42","0,00","51,95","105,59","54,83","0,62","480,08","0,00","15,65","17,70","14,08","604,00","25,00","6,00","4,00","Ústecký kraj","VARNSDORF","Děčín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Pohleď","1 050,29","434,62","1 244,42","0,00","56,00","0,00","177,94","201,82","0,00","0,00",NA,"0,00","70,00","26,00","10,00","16,00","16,00","1,00","1,00",NA,"0,00","0,00",NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","201,82","1 680,18","0,00","629,88","1 478,36","1 050,29","0,00","121,48","231,24","20,41","0,39","51,27","0,00","0,77","5,07","3,99","287,97","0,00","1,00","0,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Police","11 339,58","603,43","9 711,12","0,00","127,97","830,97","1 373,67","1 229,81","1,00","0,00",NA,"1,00","683,00","123,00","119,00","201,00","200,00","20,00","20,00",NA,"0,00","0,00",NA,"9,00","0,00","0,00","1,00","0,00","44,00","0,00","0,00","0,00","0,00","129,00","1 229,81","12 442,57","32,00","272,03","11 212,76","12 170,55","0,00","83,70","163,94","54,06","6,25","227,34","0,00","26,27","27,30","14,57","424,83","27,00","9,00","7,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Poříčí","5 360,63","705,07","5 034,82","220,00","0,00","1 111,49","515,92","888,49","0,00","0,00",NA,"0,00","304,00","67,00","49,00","92,00","75,00","11,00","10,00",NA,"0,00","0,00","2,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 108,49","6 659,24","3,00","187,12","5 550,75","6 472,12","0,00","59,19","462,66","53,10","0,36","79,27","0,00","32,46","8,82","9,22","551,10","6,00","4,00","6,00","Jihočeský kraj","STRAKONICE","Strakonice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Poříčí","5 179,34","506,10","3 713,36","0,00","54,05","107,14","190,83","179,89","2,00","0,00",NA,"0,00","270,00","45,00","33,00","93,00","75,00","12,00","12,00",NA,"0,00","0,00",NA,"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","179,89","4 138,13","4,00","-1 148,36","3 958,24","5 286,48","0,00","123,50","162,10","51,63","2,87","146,13","0,00","1,87","13,03","4,96","324,14","7,00","2,00","2,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Radechová","4 889,03","555,26","5 799,85","0,00","0,00","305,71","526,39","490,65","2,00","0,00",NA,"1,00","496,00","74,00","82,00","146,00","152,00","18,00","24,00",NA,"0,00","0,00",NA,"13,00","0,00","0,00","0,00","0,00","19,00","0,00","0,00","0,00","0,00","0,00","490,65","6 816,89","10,00","1 622,15","6 326,24","5 194,74","0,00","89,57","221,66","33,49","8,16","167,11","0,00","1,64","23,71","9,91","420,64","20,00","3,00","8,00","Královéhradecký kraj","NÁCHOD","Náchod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Radouň","1 648,92","1 535,60","4 183,67","0,00","5 286,16","1 170,88","387,24","79,80","0,00","0,00",NA,"0,00","241,00","66,00","31,00","68,00","62,00","7,00","7,00",NA,"0,00","0,00",NA,"6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","79,80","9 936,87","3,00","7 117,08","9 857,07","2 819,79","0,00","697,97","432,60","75,12","0,00","273,77","0,00","18,89","24,99","12,26","731,36","2,00","4,00","2,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Radslavice","2 052,83","467,07","1 387,85","0,00","213,24","26,00","720,51","201,14","0,00","0,00",NA,"0,00","93,00","20,00","11,00","28,00","31,00","1,00","2,00",NA,"0,00","0,00",NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","201,14","2 522,75","9,00","443,92","2 321,61","2 078,83","0,00","136,70","239,53","23,20","0,93","55,74","0,00","1,86","4,49","4,63","300,69","2,00","1,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Rápotice","2 489,03","398,27","2 060,90","277,99","509,50","2 134,63","2 193,06","233,88","0,00","0,00",NA,"0,00","156,00","23,00","20,00","50,00","54,00","6,00","3,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","511,88","5 275,34","5,00","651,68","4 763,46","4 623,66","0,00","158,09","160,72","18,16","0,00","45,86","0,00","6,11","5,73","3,60","212,31","1,00","2,00","2,00","Vysočina","HUMPOLEC","Pelhřimov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Řasnice","6 056,70","1 903,70","4 486,91","337,66","23,91","2 171,78","1 351,10","1 288,14","0,00","0,00",NA,"0,00","222,00","45,00","29,00","78,00","51,00","8,00","11,00",NA,"0,00","0,00",NA,"6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 625,80","7 487,72","5,00","-740,75","5 861,92","8 228,47","0,00","756,22","405,30","104,35","0,00","608,41","0,00","8,78","8,70","11,94","1 022,41","11,00","1,00","2,00","Liberecký kraj","FRÝDLANT","Liberec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Ředice","11 261,71","1 110,63","13 428,08","399,90","277,25","2 068,23","1 300,77","1 929,45","3,00","0,00",NA,"0,00","1 027,00","155,00","181,00","317,00","311,00","35,00","28,00",NA,"0,00","0,00",NA,"21,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","71,00","0,00","0,00","2 329,35","17 335,44","9,00","4 005,51","15 006,09","13 329,93","0,00","162,55","679,08","53,62","4,37","97,70","0,00","58,61","36,02","18,68","817,17","22,00","10,00","7,00","Pardubický kraj","HOLICE","Pardubice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Řepčice","1 215,50","260,65","1 355,30","0,00","4,55","5,45","48,83","278,30","0,00","0,00",NA,"0,00","101,00","23,00","14,00","27,00","28,00","5,00","4,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","278,30","1 686,98","4,00","466,04","1 408,68","1 220,94","5,79","20,52","186,07","16,73","5,69","16,42","0,00","0,51","5,65","3,27","219,62","1,00","0,00","2,00","Ústecký kraj","LITOMĚŘICE","Litoměřice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Rožínka","565,99","202,79","1 032,93","0,00","24,52","0,00","10,28","187,15","0,00","0,00",NA,"0,00","77,00","17,00","6,00","31,00","17,00","4,00","2,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","187,15","1 254,88","0,00","688,89","1 067,73","565,99","0,00","11,70","151,51","11,67","0,00","19,83","0,00","2,82","2,23","3,03","173,57","2,00","0,00","1,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Skrýchov","1 401,90","362,97","2 271,11","220,00","14,75","665,00","93,63","146,40","0,00","0,00",NA,"0,00","170,00","11,00","31,00","67,00","51,00","7,00","3,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","366,40","2 745,89","2,00","678,99","2 379,49","2 066,90","0,00","124,55","120,30","20,72","0,00","69,90","0,00","20,67","3,33","3,52","193,52","2,00","1,00","0,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Slatina","1 770,22","583,59","2 114,31","0,00","0,00","48,11","516,31","169,75","1,00","0,00",NA,"0,00","136,00","32,00","16,00","42,00","36,00","5,00","5,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","169,75","2 800,37","0,00","982,05","2 630,62","1 818,33","0,00","186,65","273,44","32,81","0,00","68,34","0,00","5,88","11,00","5,47","352,78","0,00","1,00","1,00","Jihočeský kraj","DAČICE","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Slavkov","79 655,61","3 686,75","82 651,17","7 656,23","7 343,71","66 221,36","18 213,46","12 121,71","19,00","0,00",NA,"2,00","5 475,00","972,00","857,00","1 715,00","1 513,00","217,00","201,00",NA,"0,00","2,00","2,00","139,00","0,00","0,00","3,00","0,00","196,00","0,00","70,00","0,00","0,00","575,00","19 777,94","127 986,28","132,00","-17 890,69","108 208,34","145 876,96","0,00","2 043,60","53,98","521,01","0,00","958,38","0,00","30,12","42,75","36,91","1 055,11","140,00","67,00","48,00","Karlovarský kraj","SOKOLOV","Sokolov","1,00","2,00","1,00","1,00","2,00","1,00",NA,NA,NA,NA,NA,NA
"Horní Slivno","2 879,63","667,22","3 934,41","0,00","0,00","584,59","683,90","361,48","2,00","0,00",NA,"0,00","303,00","36,00","63,00","100,00","88,00","9,00","7,00",NA,"0,00","0,00",NA,"10,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","59,00","0,00","0,00","361,48","4 979,79","16,00","1 515,56","4 618,30","3 464,22","0,00","66,05","525,19","26,23","6,09","23,80","0,00","0,41","9,74","9,70","564,82","4,00","3,00","3,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Smrčné","359,27","332,70","787,76","120,00","0,00","302,72","14,47","66,01","0,00","0,00",NA,"0,00","53,00","14,00","6,00","15,00","15,00","1,00","2,00",NA,"0,00","0,00",NA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","186,01","988,23","3,00","326,25","802,23","661,99","0,00","136,84","84,66","21,29","0,00","82,47","0,00","2,53","3,04","1,88","170,17","0,00","1,00","2,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Smržov","2 522,29","390,49","1 868,80","0,00","6,45","296,83","1 446,20","203,05","0,00","0,00",NA,"0,00","141,00","24,00","26,00","47,00","36,00","6,00","2,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","203,05","3 524,50","7,00","705,37","3 321,45","2 819,13","0,00","178,10","122,76","28,51","0,46","49,79","0,00","1,97","5,61","3,29","178,63","6,00","1,00","3,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Štěpánov","10 322,67","2 000,10","12 159,44","0,00","3,42","4 482,89","1 860,34","701,01","0,00","0,00",NA,"1,00","902,00","164,00","130,00","291,00","247,00","37,00","33,00",NA,"0,00","0,00",NA,"28,00","0,00","0,00","1,00","0,00","23,00","0,00","0,00","0,00","0,00","76,00","701,01","14 724,20","8,00","-81,36","14 023,19","14 805,56","0,00","1 094,43","548,79","59,23","0,00","238,08","0,00","15,62","25,82","18,14","812,70","27,00","12,00","7,00","Olomoucký kraj","KONICE","Prostějov",NA,NA,NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Horní Stropnice","29 052,42","7 990,58","26 283,64","298,70","306,75","29 263,68","16 030,26","2 245,68","16,00","0,00","55,00","1,00","1 475,00","294,00","213,00","475,00","378,00","53,00","62,00","21,00","0,00","0,00","3,00","45,00","0,00","0,00","1,00","0,00","47,00","0,00","0,00","0,00","0,00","115,00","2 544,38","45 165,02","50,00","-13 151,08","42 620,64","58 316,10","0,00","3 880,81","1 959,18","467,94","5,00","1 380,03","0,00","216,76","46,11","34,75","3 390,32","55,00","17,00","12,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice",NA,"1,00",NA,NA,NA,NA,"1,00","45,00",NA,NA,NA,NA
"Horní Studénky","5 873,59","724,37","4 630,81","106,48","0,00","1 323,14","908,97","951,21","1,00","0,00",NA,"1,00","340,00","76,00","45,00","109,00","89,00","12,00","9,00",NA,"0,00","0,00",NA,"6,00","1,00","0,00","0,00","0,00","15,00","0,00","0,00","27,00","0,00","0,00","1 057,69","6 597,47","11,00","-599,26","5 539,78","7 196,73","0,00","163,04","231,62","49,57","0,00","254,75","0,00","5,74","12,80","6,84","499,17","11,00","3,00","3,00","Olomoucký kraj","ZÁBŘEH","Šumperk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Suchá","64 658,76","979,54","96 109,60","0,00","742,99","39 843,39","21 704,18","6 758,46","14,00","0,00",NA,"2,00","4 464,00","762,00","749,00","1 382,00","1 221,00","182,00","168,00",NA,"0,00","0,00","1,00","269,00","0,00","0,00","2,00","0,00","120,00","0,00","0,00","0,00","0,00","447,00","6 758,46","125 315,23","149,00","20 813,08","118 556,77","104 502,14","0,00","246,70","291,09","243,00","0,33","21,71","0,00","26,63","100,29","49,79","413,43","181,00","62,00","31,00","Moravskoslezský kraj","HAVÍŘOV","Karviná",NA,"2,00","1,00","1,00","2,00","1,00","1,00","30,00",NA,NA,NA,NA
