"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Jenišov","7 196,99","7 697,12","240,00","100,00","1 364,58","734,66","170,70","294,00","196,00","18,00","261,00","449,00","240,00","824,00","3,00","838,00","71,00","6,00","0,00","0,00","4,00","0,00","122,00","9,00","170,00","228,00","85,00","167,00","272,00","267,00","29,00","18,00","39,00","397,00","199,00","73,00","0,00","279,00","28,00","229,00","228,00","36,00","418,00","410,70","8 942,47","46,00","380,91","8 531,78","8 561,56","20,00","7,00","8,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Jenišovice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Pardubický kraj","CHRUDIM","Chrudim"
"Jenišovice","9 562,10","7 129,92","225,00","2 289,68","1 737,75","817,89","2 162,37","354,00","208,00","8,00","340,00","501,00","259,00","1 003,00","2,00","973,00","108,00","2,00","2,00","0,00","0,00","0,00","90,00","14,00","326,00","219,00","118,00","182,00","320,00","326,00","38,00","29,00","26,00","31,00","211,00","175,00","12,00","199,00","25,00","224,00","248,00","18,00","456,00","2 387,37","12 624,88","63,00","1 325,10","10 237,49","11 299,79","28,00","6,00","7,00","Liberecký kraj","TURNOV","Jablonec n.Nisou"
"Jenštejn","5 600,30","7 087,00","0,00","331,10","1 529,63","661,26","266,78","278,00","192,00","36,00","306,00","430,00","230,00","925,00","1,00","1 039,00","113,00","2,00","0,00","0,00","19,00","0,00","162,00","31,00","207,00","182,00","169,00","217,00","265,00","285,00","24,00","21,00","60,00","84,00","200,00","46,00","8,00","277,00","39,00","228,00","216,00","18,00","407,00","266,78","8 346,13","81,00","1 216,20","8 079,36","7 129,93","23,00","20,00","15,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Jeřice","3 444,00","3 514,91","46,50","0,00","156,50","360,60","297,90","133,00","73,00","0,00","163,00","195,00","116,00","407,00","2,00","395,00","51,00","0,00","1,00","1,00","0,00","0,00","22,00","5,00","150,00","84,00","50,00","68,00","138,00","118,00","13,00","19,00","11,00","12,00","80,00","44,00","19,00","75,00","15,00","102,00","111,00","17,00","175,00","344,40","4 219,91","12,00","619,42","3 875,51","3 600,48","8,00","6,00","4,00","Královéhradecký kraj","HOŘICE","Jičín"
"Jeřišno","2 350,32","2 766,83","0,00","0,00","0,00","186,91","1 001,65","106,00","52,00","0,00","153,00","143,00","95,00","310,00","0,00","303,00","58,00","0,00","0,00","0,00","0,00","0,00","6,00","0,00","135,00","51,00","57,00","44,00","89,00","102,00","11,00","6,00","4,00","4,00","56,00","41,00","17,00","42,00","9,00","52,00","95,00","18,00","124,00","1 001,65","3 955,38","6,00","1 605,15","2 953,74","2 350,23","5,00","2,00","2,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Jeřmanice","6 419,50","3 399,26","6 500,00","0,00","8 116,69","763,17","110,21","146,00","84,00","2,00","137,00","237,00","120,00","463,00","2,00","452,00","46,00","1,00","1,00","0,00","4,00","0,00","48,00","5,00","119,00","115,00","63,00","79,00","140,00","169,00","18,00","11,00","11,00","10,00","84,00","44,00","5,00","116,00","23,00","120,00","113,00","16,00","217,00","6 610,21","10 772,62","26,00","-3 763,53","4 162,43","14 536,15","17,00","2,00","2,00","Liberecký kraj","LIBEREC","Liberec"
"Jersín","2 142,40","1 693,44","0,00","0,00","0,00","483,55","195,95","67,00","37,00","0,00","64,00","91,00","55,00","196,00","1,00","189,00","30,00","0,00","0,00","0,00","0,00","0,00","6,00","1,00","80,00","32,00","27,00","30,00","59,00","69,00","5,00","3,00","10,00","18,00","42,00","28,00","11,00","30,00","8,00","30,00","53,00","10,00","83,00","195,95","2 372,95","0,00","230,55","2 176,99","2 142,40","4,00","1,00","1,00","Vysočina","JIHLAVA","Jihlava"
"Jesenec","2 444,96","2 312,55","517,00","96,25","1 096,61","552,73","323,21","93,00","38,00","0,00","115,00","101,00","80,00","285,00","1,00","300,00","74,00","0,00","0,00","0,00","1,00","0,00","18,00","1,00","104,00","49,00","77,00","34,00","60,00","81,00","14,00","22,00","7,00","19,00","34,00","19,00","7,00","39,00","6,00","58,00","77,00","10,00","89,00","840,21","3 801,72","8,00","260,17","2 961,53","3 541,55","14,00","9,00","1,00","Olomoucký kraj","KONICE","Prostějov"
"Jesenice","9 065,39","4 813,79","1 392,50","52,29","3 262,49","1 317,72","4 475,88","186,00","89,00","2,00","204,00","278,00","149,00","510,00","5,00","528,00","75,00","0,00","0,00","0,00","0,00","0,00","21,00","0,00","201,00","112,00","81,00","76,00","158,00","170,00","16,00","15,00","13,00","32,00","153,00","82,00","34,00","107,00","31,00","143,00","141,00","20,00","265,00","5 868,38","12 052,14","15,00","-275,71","6 183,80","12 327,85","10,00","10,00","3,00","Středočeský kraj","SEDLČANY","Příbram"
"Jesenice","27 076,61","17 152,35","1 032,74","1 149,14","2 492,59","6 173,23","7 653,20","596,00","267,00","1,00","444,00","727,00","320,00","1 769,00","32,00","1 761,00","283,00","3,00","3,00","0,00","5,00","15,00","104,00","21,00","478,00","345,00","314,00","260,00","537,00","560,00","71,00","58,00","192,00","129,00","182,00","129,00","27,00","333,00","47,00","353,00","275,00","87,00","637,00","8 685,94","33 160,63","53,00","3 591,46","24 474,72","29 569,18","101,00","24,00","16,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Jesenice","67 904,38","66 924,94","1 497,86","1 047,03","3 641,69","10 605,36","14 761,00","2 675,00","1 868,00","57,00","1 938,00","3 993,00","1 718,00","7 036,00","11,00","7 628,00","512,00","9,00","7,00","2,00","94,00","77,00","1 664,00","151,00","1 127,00","1 871,00","576,00","1 697,00","2 350,00","2 177,00","152,00","148,00","368,00","982,00","1 913,00","384,00","35,00","2 775,00","252,00","2 121,00","1 569,00","120,00","3 827,00","16 258,86","94 836,20","562,00","23 290,18","78 577,33","71 546,02","215,00","33,00","124,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Jeseník","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Jeseník nad Odrou","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Moravskoslezský kraj","ODRY","Nový Jičín"
"Jesenný","5 972,39","3 970,65","781,20","0,82","1 363,49","1 597,27","703,81","194,00","88,00","2,00","248,00","240,00","144,00","499,00","1,00","485,00","99,00","0,00","0,00","0,00","2,00","0,00","15,00","2,00","196,00","98,00","95,00","62,00","137,00","161,00","16,00","24,00","15,00","25,00","63,00","63,00","18,00","87,00","13,00","119,00","127,00","31,00","217,00","1 485,01","7 053,73","15,00","-282,08","5 568,74","7 335,81","6,00","8,00","3,00","Liberecký kraj","SEMILY","Semily"
"Ješetice","1 507,19","1 368,91","0,00","0,00","44,10","225,55","61,99","43,00","13,00","1,00","66,00","50,00","38,00","129,00","0,00","121,00","23,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","48,00","19,00","29,00","16,00","33,00","43,00","9,00","5,00","4,00","4,00","22,00","13,00","8,00","20,00","4,00","42,00","36,00","0,00","48,00","61,99","1 656,46","0,00","105,18","1 594,46","1 551,28","1,00","0,00","0,00","Středočeský kraj","VOTICE","Benešov"
"Jestřabí","3 506,55","2 041,85","0,00","11,00","35,65","279,97","629,60","87,00","51,00","2,00","96,00","145,00","81,00","300,00","0,00","290,00","48,00","0,00","0,00","0,00","0,00","0,00","17,00","2,00","116,00","47,00","63,00","36,00","87,00","111,00","7,00","11,00","5,00","2,00","53,00","27,00","7,00","49,00","28,00","63,00","80,00","11,00","124,00","629,60","2 962,42","18,00","-579,76","2 332,82","3 542,18","13,00","2,00","2,00","Zlínský kraj","VALAŠSKÉ KLOBOUKY","Zlín"
"Jestřabí Lhota","3 806,60","3 510,31","0,00","2 095,92","1 872,45","336,18","197,28","149,00","84,00","6,00","162,00","230,00","131,00","452,00","1,00","441,00","52,00","0,00","0,00","0,00","0,00","0,00","21,00","4,00","139,00","107,00","67,00","78,00","149,00","143,00","19,00","11,00","15,00","1,00","95,00","81,00","5,00","82,00","13,00","88,00","128,00","34,00","202,00","197,28","6 139,68","29,00","460,67","5 942,41","5 679,00","11,00","0,00","5,00","Středočeský kraj","KOLÍN","Kolín"
"Jestřabí v Krkonoších","2 786,09","2 432,80","77,00","785,22","135,00","314,21","158,58","96,00","39,00","0,00","295,00","116,00","85,00","246,00","1,00","243,00","45,00","0,00","1,00","0,00","0,00","0,00","9,00","2,00","73,00","58,00","47,00","46,00","54,00","84,00","13,00","4,00","5,00","1,00","25,00","16,00","13,00","47,00","4,00","86,00","82,00","21,00","95,00","235,58","3 767,78","9,00","846,72","3 532,23","2 921,06","3,00","7,00","1,00","Liberecký kraj","JILEMNICE","Semily"
"Jestřebí","615,63","1 248,72","0,00","0,00","1 363,39","68,80","61,00","59,00","23,00","0,00","59,00","77,00","47,00","164,00","0,00","151,00","27,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","62,00","32,00","30,00","17,00","52,00","55,00","6,00","7,00","8,00","1,00","46,00","34,00","5,00","24,00","7,00","31,00","47,00","3,00","76,00","61,00","1 378,52","4,00","-600,50","1 317,52","1 979,02","2,00","4,00","3,00","Královéhradecký kraj","NOVÉ MĚSTO NAD METUJÍ","Náchod"
"Jestřebí","9 012,10","7 342,52","1 045,93","107,19","2 052,65","2 838,44","2 204,19","243,00","115,00","7,00","203,00","355,00","166,00","832,00","42,00","786,00","89,00","0,00","0,00","0,00","0,00","0,00","28,00","1,00","270,00","146,00","125,00","135,00","276,00","261,00","36,00","35,00","37,00","43,00","110,00","93,00","11,00","117,00","17,00","155,00","149,00","53,00","297,00","3 250,12","13 538,28","49,00","2 473,53","10 288,15","11 064,75","48,00","7,00","11,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Jestřebí","5 122,07","4 814,92","0,00","4,62","1 465,56","620,56","554,83","209,00","92,00","3,00","215,00","262,00","179,00","606,00","1,00","572,00","93,00","0,00","1,00","0,00","0,00","0,00","22,00","1,00","205,00","111,00","126,00","89,00","191,00","191,00","25,00","17,00","11,00","7,00","103,00","72,00","13,00","86,00","18,00","112,00","177,00","42,00","218,00","554,83","5 994,89","14,00","-592,70","5 440,10","6 587,59","9,00","4,00","5,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Jetětice","3 172,50","2 948,96","150,00","966,31","885,83","1 391,26","163,51","113,00","42,00","2,00","144,00","130,00","92,00","283,00","2,00","291,00","46,00","0,00","0,00","0,00","0,00","1,00","12,00","0,00","106,00","46,00","51,00","45,00","81,00","89,00","8,00","14,00","18,00","8,00","43,00","30,00","10,00","53,00","11,00","52,00","87,00","13,00","114,00","313,51","5 620,04","2,00","1 561,73","5 306,53","4 058,31","10,00","4,00","2,00","Jihočeský kraj","MILEVSKO","Písek"
"Jetřichov","4 750,87","4 064,21","12 315,79","14,99","11 877,32","1 223,98","286,30","170,00","80,00","1,00","148,00","192,00","111,00","462,00","1,00","431,00","57,00","0,00","0,00","0,00","0,00","0,00","4,00","3,00","179,00","69,00","89,00","68,00","132,00","163,00","21,00","21,00","22,00","16,00","69,00","75,00","9,00","54,00","7,00","82,00","94,00","22,00","176,00","12 602,09","17 905,27","17,00","1 277,12","5 303,18","16 628,15","10,00","2,00","4,00","Královéhradecký kraj","BROUMOV","Náchod"
"Jetřichovice","11 650,23","6 348,23","400,00","860,25","1 172,90","771,36","5 431,34","152,00","51,00","1,00","268,00","160,00","131,00","407,00","3,00","376,00","72,00","5,00","0,00","0,00","1,00","0,00","17,00","2,00","130,00","82,00","63,00","40,00","113,00","137,00","23,00","22,00","38,00","21,00","33,00","12,00","9,00","74,00","13,00","160,00","117,00","31,00","133,00","5 831,34","13 811,18","17,00","988,08","7 979,84","12 823,10","15,00","2,00","3,00","Ústecký kraj","DĚČÍN","Děčín"
"Jevany","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Středočeský kraj","ŘÍČANY","Kolín"
"Jevíčko","43 631,76","26 044,29","11 641,75","3 797,65","31 471,16","10 096,53","11 752,32","1 085,00","603,00","8,00","766,00","1 307,00","648,00","2 885,00","6,00","2 886,00","435,00","6,00","0,00","0,00","0,00","7,00","251,00","13,00","873,00","599,00","473,00","463,00","898,00","894,00","103,00","92,00","77,00","551,00","259,00","350,00","31,00","572,00","87,00","581,00","570,00","182,00","1 164,00","23 394,07","63 332,49","58,00","-11 770,36","39 938,47","75 102,84","54,00","28,00","20,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Jeviněves","1 304,74","1 734,83","0,00","0,00","-31,44","119,01","176,97","92,00","38,00","2,00","129,00","101,00","89,00","209,00","0,00","216,00","52,00","0,00","0,00","0,00","0,00","0,00","18,00","2,00","71,00","42,00","37,00","30,00","54,00","63,00","2,00","8,00","12,00","2,00","46,00","16,00","2,00","64,00","4,00","43,00","87,00","5,00","92,00","176,97","2 030,81","14,00","757,52","1 853,84","1 273,29","7,00","1,00","3,00","Středočeský kraj","MĚLNÍK","Mělník"
