"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Přídolí","13 793,22","10 915,70","830,31","1 126,85","3 979,67","2 453,13","1 869,51","4,00","654,00","51,00","128,00","245,00","199,00","14,00","17,00","142,00","45,00","2 699,82","17 195,50","47,00","-577,39","14 495,68","17 772,89","20,00","4,00","8,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Příkazy","9 964,80","11 261,28","0,00","5,98","411,56","1 317,82","207,30","6,00","1 220,00","201,00","169,00","404,00","365,00","49,00","32,00","226,00","35,00","207,30","12 792,38","45,00","2 416,02","12 585,08","10 376,36","18,00","9,00","10,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Příkosice","2 436,24","2 870,50","0,00","12,00","678,33","341,81","56,53","1,00","370,00","60,00","63,00","113,00","99,00","17,00","18,00","75,00","18,00","56,53","3 280,84","16,00","166,27","3 224,31","3 114,57","11,00","3,00","4,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Příkrý","1 358,45","2 154,06","5 089,66","2,13","6 584,91","348,24","269,11",NA,"240,00","54,00","36,00","77,00","60,00","8,00","5,00","53,00","8,00","5 358,77","7 863,20","6,00","-80,16","2 504,43","7 943,36","5,00","4,00","3,00","Liberecký kraj","SEMILY","Semily"
"Přílepy","5 601,14","7 272,60","0,00","50,00","1 190,91","271,42","335,67","8,00","897,00","134,00","134,00","310,00","287,00","14,00","18,00","188,00","27,00","335,67","7 929,69","37,00","1 137,64","7 594,02","6 792,05","12,00","8,00","8,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Přílepy","1 712,72","1 865,83","0,00","16,72","172,13","201,34","152,18",NA,"209,00","22,00","35,00","70,00","61,00","11,00","10,00","40,00","7,00","152,18","2 236,07","11,00","351,22","2 083,89","1 884,85","1,00","1,00","1,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Příluka","984,89","1 454,97","0,00","2,98","1 700,93","133,42","58,70",NA,"164,00","24,00","27,00","56,00","49,00","4,00","4,00","31,00","3,00","58,70","1 650,07","5,00","-1 035,75","1 591,37","2 685,82","2,00","1,00","2,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Přimda","16 086,42","15 885,67","248,56","2 743,38","11 211,97","5 454,45","1 643,48","2,00","1 516,00","154,00","254,00","562,00","474,00","36,00","36,00","543,00","96,00","1 892,04","25 975,54","105,00","-1 322,85","24 083,50","27 298,39","102,00","11,00","23,00","Plzeňský kraj","TACHOV","Tachov"
"Přísečná","1 082,76","3 645,09","0,00","0,00","55,00","315,26","65,15",NA,"195,00","35,00","22,00","62,00","67,00","4,00","5,00","66,00","4,00","65,15","4 025,50","4,00","2 887,74","3 960,35","1 137,76","4,00","0,00","1,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Příseka","1 627,01","2 755,94","4 613,15","0,00","7 007,07","200,01","21,79","1,00","364,00","51,00","42,00","130,00","122,00","10,00","9,00","61,00","25,00","4 634,94","7 590,89","7,00","-1 043,19","2 955,95","8 634,08","11,00","2,00","1,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Přišimasy","4 030,40","5 645,01","0,00","26,70","2 050,70","522,98","263,16","5,00","662,00","63,00","151,00","206,00","202,00","19,00","21,00","152,00","13,00","263,16","6 457,85","44,00","376,75","6 194,69","6 081,10","11,00","7,00","11,00","Středočeský kraj","ČESKÝ BROD","Kolín"
"Přísnotice","6 286,15","7 038,45","100,00","285,10","2 514,93","379,29","450,33","1,00","791,00","118,00","109,00","269,00","240,00","33,00","22,00","138,00","21,00","550,33","8 253,17","10,00","-547,91","7 702,84","8 801,08","11,00","9,00","10,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Příšov","1 432,26","3 103,07","0,00","0,00","29,75","331,62","27,20",NA,"283,00","44,00","52,00","92,00","77,00","11,00","7,00","63,00","3,00","27,20","3 461,89","7,00","1 999,88","3 434,69","1 462,01","3,00","1,00","1,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Příšovice","15 833,21","12 166,82","0,00","1,04","1 939,36","4 062,77","1 005,17","12,00","1 319,00","141,00","194,00","453,00","440,00","54,00","37,00","273,00","43,00","1 005,17","17 235,80","68,00","-536,77","16 230,63","17 772,57","43,00","12,00","17,00","Liberecký kraj","TURNOV","Liberec"
"Přistoupim","3 671,82","3 500,45","0,00","1 610,00","466,35","209,95","390,31","4,00","441,00","62,00","80,00","136,00","134,00","18,00","11,00","91,00","11,00","390,31","5 710,71","23,00","1 572,54","5 320,40","4 138,17","15,00","3,00","8,00","Středočeský kraj","ČESKÝ BROD","Kolín"
"Příštpo","1 424,97","2 798,09","0,00","1,10","779,27","204,95","185,01",NA,"280,00","52,00","38,00","93,00","83,00","8,00","6,00","42,00","34,00","185,01","3 189,15","18,00","984,91","3 004,14","2 204,24","7,00","0,00","2,00","Vysočina","TŘEBÍČ","Třebíč"
"Přítluky","7 548,48","6 990,66","70,00","1 179,55","1 527,04","1 899,78","477,74","1,00","751,00","101,00","103,00","258,00","220,00","33,00","36,00","230,00","50,00","547,74","10 617,73","8,00","1 542,21","10 069,99","9 075,52","21,00","7,00","8,00","Jihomoravský kraj","BŘECLAV","Břeclav"
"Přívětice","1 617,49","2 681,22","0,00","0,00","751,33","232,83","129,25",NA,"195,00","35,00","22,00","68,00","48,00","10,00","12,00","34,00","9,00","129,25","3 043,30","4,00","674,48","2 914,05","2 368,82","11,00","2,00","1,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Přívrat","3 121,18","2 806,17","1 895,00","184,00","2 252,31","414,88","276,17",NA,"327,00","36,00","57,00","116,00","101,00","9,00","8,00","54,00","13,00","2 171,17","5 576,22","2,00","202,73","3 405,05","5 373,49","12,00","3,00","1,00","Pardubický kraj","ČESKÁ TŘEBOVÁ","Ústí nad Orlicí"
"Prlov","4 837,39","4 349,04","5 400,00","0,46","6 262,22","415,01","752,69","5,00","531,00","69,00","67,00","197,00","170,00","13,00","15,00","105,00","22,00","6 152,69","10 917,20","7,00","-182,41","4 764,51","11 099,61","5,00","8,00","9,00","Zlínský kraj","VSETÍN","Vsetín"
"Proboštov","23 953,65","24 355,24","0,00","57,77","4 362,54","3 713,65","2 066,49","18,00","2 579,00","311,00","384,00","873,00","833,00","84,00","94,00","598,00","106,00","2 066,49","30 193,15","115,00","1 876,96","28 126,66","28 316,19","67,00","25,00","26,00","Ústecký kraj","TEPLICE","Teplice"
"Probulov","739,85","597,33","0,00","87,95","0,00","115,15","41,20",NA,"47,00","17,00","1,00","16,00","9,00","1,00","3,00","21,00","3,00","41,20","841,63","2,00","101,78","800,43","739,85","3,00","1,00","0,00","Jihočeský kraj","PÍSEK","Písek"
"Prodašice","673,59","876,55","0,00","0,00","129,98","514,98","15,08",NA,"92,00","12,00","17,00","30,00","27,00","1,00","5,00","20,00","3,00","15,08","1 406,61","2,00","603,04","1 391,53","803,57","3,00","0,00","1,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Prokopov","1 648,60","925,06","0,00","182,35","62,76","553,85","526,30",NA,"111,00","16,00","18,00","38,00","32,00","1,00","6,00","15,00","8,00","526,30","2 187,56","4,00","476,20","1 661,26","1 711,36","1,00","1,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Proruby","1 084,11","506,13","0,00","90,38","0,00","334,35","93,20",NA,"51,00","10,00","1,00","14,00","19,00","3,00","4,00","13,00","2,00","93,20","1 024,06","0,00","-60,05","930,86","1 084,11","0,00","2,00","0,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Proseč","1 641,07","627,28","0,00","0,00","93,02","996,15","163,09",NA,"65,00","11,00","13,00","18,00","18,00","3,00","2,00","18,00","4,00","163,09","1 786,52","0,00","52,43","1 623,43","1 734,09","2,00","0,00","2,00","Vysočina","HUMPOLEC","Pelhřimov"
"Proseč","21 093,17","20 270,47","2 267,00","544,01","6 220,45","6 958,60","2 149,55","17,00","2 161,00","336,00","365,00","666,00","629,00","92,00","73,00","351,00","65,00","4 416,55","32 189,63","47,00","4 876,01","27 773,08","27 313,62","31,00","18,00","27,00","Pardubický kraj","CHRUDIM","Chrudim"
"Proseč pod Ještědem","3 412,13","2 775,52","0,00","87,11","362,30","260,14","288,89","3,00","280,00","48,00","32,00","99,00","85,00","8,00","8,00","83,00","14,00","288,89","3 411,66","9,00","-362,77","3 122,77","3 774,43","2,00","3,00","4,00","Liberecký kraj","LIBEREC","Liberec"
"Proseč pod Křemešníkem","577,24","992,08","116,00","24,64","250,00","129,13","19,37",NA,"86,00","16,00","7,00","33,00","25,00","2,00","3,00","23,00","3,00","135,37","1 281,22","0,00","453,98","1 145,85","827,24","0,00","1,00","0,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Prosečné","3 804,45","4 666,78","0,00","219,91","1 110,51","1 108,54","381,52",NA,"541,00","63,00","74,00","184,00","185,00","16,00","19,00","125,00","27,00","381,52","6 376,75","18,00","1 461,79","5 995,23","4 914,96","19,00","3,00","7,00","Královéhradecký kraj","VRCHLABÍ","Trutnov"
"Prosenice","7 160,02","7 875,48","3 000,00","4 590,30","9 332,85","2 081,54","612,80","1,00","911,00","139,00","126,00","311,00","274,00","32,00","29,00","149,00","33,00","3 612,80","18 160,12","56,00","1 667,25","14 547,32","16 492,87","47,00","11,00","15,00","Olomoucký kraj","PŘEROV","Přerov"
"Prosenická Lhota","2 042,13","4 179,81","0,00","9,02","198,76","481,24","484,22","2,00","459,00","64,00","63,00","162,00","148,00","11,00","11,00","104,00","19,00","484,22","5 154,29","21,00","2 913,40","4 670,07","2 240,89","16,00","5,00","6,00","Středočeský kraj","SEDLČANY","Příbram"
"Prosetín","6 252,85","6 465,03","0,00","1 406,33","1 969,24","1 923,80","773,00","1,00","813,00","109,00","131,00","269,00","262,00","26,00","16,00","154,00","30,00","773,00","10 568,16","26,00","2 346,07","9 795,16","8 222,09","23,00","10,00","13,00","Pardubický kraj","CHRUDIM","Chrudim"
"Prosetín","4 222,26","3 968,37","0,00","20,87","592,39","1 263,96","509,13","1,00","399,00","55,00","64,00","128,00","121,00","16,00","15,00","75,00","14,00","509,13","5 762,33","1,00","947,68","5 253,20","4 814,65","9,00","2,00","5,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Prosíčka","1 178,76","1 075,58","209,75","0,00","486,27","416,52","19,93","1,00","117,00","20,00","20,00","39,00","31,00","5,00","2,00","21,00","7,00","229,68","1 721,78","0,00","56,75","1 492,10","1 665,03","3,00","3,00","0,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Prosiměřice","10 670,46","6 817,79","3 600,00","780,14","5 699,64","3 052,09","3 617,24","3,00","780,00","119,00","128,00","236,00","241,00","30,00","26,00","155,00","33,00","7 217,24","17 867,26","37,00","1 497,16","10 650,02","16 370,10","13,00","6,00","10,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Prostějov","865 786,38","562 900,64","49 536,86","104 804,80","298 470,35","115 977,51","388 945,44","109,00","45 378,00","7 446,00","5 938,00","14 092,00","14 798,00","1 717,00","1 387,00","10 595,00","1 084,00","438 482,30","1 222 165,25","756,00","57 908,52","783 682,95","1 164 256,73","1 048,00","516,00","511,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Prostějovičky","2 046,47","2 305,80","283,00","236,40","840,46","159,41","230,24",NA,"272,00","44,00","44,00","87,00","80,00","10,00","7,00","65,00","5,00","513,24","3 214,85","0,00","327,92","2 701,61","2 886,93","3,00","2,00","1,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Prostiboř","2 719,68","1 884,33","0,00","209,00","17,00","193,36","406,79",NA,"148,00","18,00","15,00","61,00","46,00","5,00","3,00","33,00","13,00","406,79","2 693,48","6,00","-43,20","2 286,69","2 736,68","6,00","2,00","1,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Prostřední Bečva","14 553,60","19 393,84","1 020,88","122,60","1 795,65","2 697,45","562,98","5,00","1 679,00","258,00","221,00","558,00","542,00","51,00","49,00","398,00","94,00","1 583,86","23 797,75","40,00","7 448,50","22 213,89","16 349,25","21,00","17,00","13,00","Zlínský kraj","ROŽNOV POD RADHOŠTĚM","Vsetín"
"Prostřední Poříčí","1 336,76","2 044,67","155,00","0,00","359,70","26,82","27,20",NA,"253,00","45,00","30,00","96,00","67,00","8,00","7,00","28,00","10,00","182,20","2 253,69","0,00","557,23","2 071,49","1 696,46","7,00","3,00","0,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Protivanov","13 529,09","9 280,82","2 757,01","126,10","6 070,70","4 221,48","1 064,68","2,00","1 026,00","142,00","136,00","346,00","344,00","32,00","26,00","188,00","31,00","3 821,69","17 450,09","9,00","-2 149,70","13 628,40","19 599,79","23,00","9,00","5,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Protivín","61 372,32","49 364,21","0,00","3 187,51","20 697,33","22 591,11","4 943,36","3,00","5 051,00","735,00","749,00","1 667,00","1 539,00","188,00","173,00","1 079,00","112,00","4 943,36","80 086,18","97,00","-1 983,47","75 142,83","82 069,65","116,00","51,00","56,00","Jihočeský kraj","PÍSEK","Písek"
"Provodín","8 927,34","6 509,48","6 537,49","314,13","14 577,85","1 540,39","522,54",NA,"684,00","75,00","93,00","256,00","216,00","15,00","29,00","129,00","35,00","7 060,03","15 424,03","16,00","-8 081,16","8 364,00","23 505,19","12,00","7,00","7,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Provodov","5 201,80","5 662,92","720,00","51,74","1 666,87","741,63","191,00",NA,"744,00","143,00","106,00","230,00","226,00","23,00","16,00","152,00","18,00","911,00","7 367,29","11,00","498,62","6 456,29","6 868,67","9,00","16,00","13,00","Zlínský kraj","ZLÍN","Zlín"
"Provodov-Šonov","7 135,24","9 170,26","0,00","105,12","456,37","528,34","315,45","3,00","1 126,00","141,00","184,00","379,00","350,00","37,00","35,00","268,00","14,00","315,45","10 119,17","34,00","2 527,56","9 803,72","7 591,61","19,00","9,00","19,00","Královéhradecký kraj","NOVÉ MĚSTO NAD METUJÍ","Náchod"
"Provodovice","1 297,94","1 184,04","2 625,76","1,46","5 884,72","428,03","107,89",NA,"151,00","23,00","16,00","46,00","55,00","4,00","7,00","21,00","8,00","2 733,65","4 347,18","6,00","-2 835,48","1 613,53","7 182,66","0,00","3,00","1,00","Olomoucký kraj","HRANICE","Přerov"
"Prštice","4 618,75","7 597,29","0,00","12,63","1 666,29","719,71","257,38","2,00","903,00","125,00","102,00","324,00","277,00","39,00","36,00","205,00","16,00","257,38","8 587,01","28,00","2 301,97","8 329,63","6 285,04","27,00","9,00","12,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Průhonice","39 295,90","35 204,31","11 402,00","553,20","18 252,95","11 112,58","3 012,51","16,00","2 524,00","310,00","479,00","771,00","789,00","93,00","82,00","814,00","19,00","14 414,51","61 284,60","167,00","3 735,75","46 870,09","57 548,85","106,00","11,00","26,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Prušánky","16 773,34","19 494,33","11 819,30","1 862,60","28 563,24","7 291,26","1 249,19","2,00","2 142,00","309,00","295,00","720,00","674,00","79,00","65,00","418,00","123,00","13 068,49","41 716,68","34,00","-3 619,90","28 648,19","45 336,58","25,00","11,00","18,00","Jihomoravský kraj","HODONÍN","Hodonín"
"Prusice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Středočeský kraj","ŘÍČANY","Kolín"
"Prusinovice","9 839,73","9 692,66","400,00","241,78","4 289,50","785,19","628,23","1,00","1 250,00","194,00","180,00","420,00","399,00","28,00","29,00","185,00","41,00","1 028,23","11 747,86","49,00","-2 381,37","10 719,63","14 129,23","28,00","14,00","12,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Prusy-Boškůvky","5 091,43","5 397,31","77,00","62,57","549,29","185,93","562,16","4,00","630,00","106,00","98,00","214,00","176,00","21,00","15,00","131,00","15,00","639,16","6 284,97","37,00","644,25","5 645,81","5 640,72","9,00","7,00","5,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Prysk","4 507,65","4 215,72","3 600,00","410,77","3 845,14","407,04","160,60","2,00","437,00","64,00","65,00","140,00","139,00","13,00","16,00","83,00","16,00","3 760,60","8 794,13","25,00","441,34","5 033,53","8 352,79","7,00","7,00","4,00","Liberecký kraj","NOVÝ BOR","Česká Lípa"
"Pržno","6 645,29","8 010,36","2 381,20","95,70","8 114,85","686,40","261,51","9,00","989,00","92,00","124,00","427,00","292,00","24,00","30,00","183,00","24,00","2 642,71","11 435,17","66,00","-3 324,97","8 792,46","14 760,14","36,00","15,00","7,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Pržno","4 939,92","5 597,85","0,00","456,73","1 431,57","1 173,14","203,74",NA,"684,00","127,00","91,00","238,00","187,00","18,00","23,00","116,00","25,00","203,74","7 431,46","17,00","1 059,97","7 227,72","6 371,49","8,00","7,00","4,00","Zlínský kraj","VSETÍN","Vsetín"
"Pšánky","310,61","792,28","0,00","0,00","167,36","125,89","37,20",NA,"49,00","14,00","7,00","11,00","11,00","4,00","2,00","14,00","0,00","37,20","955,37","0,00","477,40","918,17","477,97","0,00","1,00","0,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Psáře","2 028,50","1 838,81","0,00","0,00","0,00","358,83","125,06",NA,"127,00","34,00","16,00","38,00","29,00","4,00","6,00","33,00","1,00","125,06","2 322,70","6,00","294,20","2 197,64","2 028,50","0,00","1,00","1,00","Středočeský kraj","VLAŠIM","Benešov"
"Psárov","908,27","1 646,07","0,00","0,00","9,90","515,39","27,20",NA,"137,00","33,00","13,00","48,00","31,00","9,00","3,00","25,00","7,00","27,20","2 188,66","1,00","1 270,49","2 161,46","918,17","8,00","1,00","0,00","Jihočeský kraj","TÁBOR","Tábor"
"Psáry","32 223,39","30 098,29","0,00","9 958,98","21 366,59","2 852,37","363,58","51,00","3 096,00","216,00","555,00","1 073,00","1 090,00","85,00","77,00","813,00","27,00","363,58","43 273,22","241,00","-10 316,76","42 909,64","53 589,98","114,00","21,00","43,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Pšov","8 292,57","7 611,94","0,00","76,12","401,83","3 847,10","1 089,94",NA,"603,00","91,00","62,00","227,00","188,00","20,00","15,00","86,00","36,00","1 089,94","12 625,10","11,00","3 930,70","11 535,16","8 694,40","17,00","8,00","4,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Pšovlky","2 071,64","2 551,87","0,00","121,71","615,30","241,93","161,30","1,00","323,00","45,00","38,00","121,00","98,00","11,00","10,00","73,00","10,00","161,30","3 076,81","56,00","389,87","2 915,51","2 686,94","7,00","4,00","3,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Pstruží","5 464,50","7 212,80","2 554,17","269,90","2 321,02","521,32","377,70","3,00","845,00","115,00","118,00","286,00","274,00","21,00","31,00","157,00","25,00","2 931,87","10 935,89","20,00","3 150,37","8 004,02","7 785,52","13,00","6,00","7,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Ptení","6 977,19","9 962,94","500,00","1 649,49","6 598,55","743,17","1 059,91","1,00","1 126,00","175,00","161,00","365,00","351,00","32,00","42,00","186,00","25,00","1 559,91","13 915,51","16,00","339,77","12 355,60","13 575,74","18,00","10,00","8,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Ptenín","1 983,45","2 176,19","100,00","2,96","172,09","396,55","827,20","1,00","219,00","48,00","26,00","67,00","63,00","9,00","6,00","49,00","0,00","927,20","3 502,90","11,00","1 347,36","2 575,70","2 155,54","9,00","3,00","6,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Ptice","3 598,82","5 348,07","2 578,80","827,30","4 942,36","1 011,59","59,98","14,00","570,00","59,00","87,00","175,00","201,00","22,00","26,00","130,00","8,00","2 638,78","9 825,74","39,00","1 284,56","7 186,96","8 541,18","12,00","4,00","5,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Ptýrov","1 333,35","1 664,71","0,00","0,00","278,04","70,32","147,93","1,00","177,00","27,00","27,00","58,00","57,00","3,00","5,00","53,00","6,00","147,93","1 882,96","9,00","271,57","1 735,03","1 611,39","3,00","3,00","4,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
